自定义相机编号,模穴号,坦克链号,日期,CCD0结果,结果返回码,Ai返回码
L29C1-1,26,27,05:08:16,OK,0,0,
L29C1-1,26,27,05:08:16,OK,0,0,
L29C1-1,17,27,05:08:16,OK,0,0,
L29C1-1,17,27,05:08:16,OK,0,0,
L29C1-1,18,27,05:08:16,OK,0,0,
L29C1-1,18,27,05:08:16,OK,0,0,
L29C1-1,9,27,05:08:16,OK,0,0,
L29C1-1,9,27,05:08:16,OK,0,0,
L29C1-1,10,27,05:08:16,OK,0,0,
L29C1-1,10,27,05:08:16,OK,0,0,
L29C1-1,1,27,05:08:16,OK,0,0,
L29C1-1,1,27,05:08:16,OK,0,0,
L29C1-1,2,27,05:08:16,OK,0,0,
L29C1-1,2,27,05:08:16,OK,0,0,

L29C1-1,28,1,05:08:21,OK,0,0,
L29C1-1,28,1,05:08:21,OK,0,0,
L29C1-1,27,1,05:08:21,OK,0,0,
L29C1-1,27,1,05:08:21,OK,0,0,
L29C1-1,20,1,05:08:21,OK,0,0,
L29C1-1,20,1,05:08:21,OK,0,0,
L29C1-1,19,1,05:08:21,OK,0,0,
L29C1-1,19,1,05:08:21,OK,0,0,
L29C1-1,12,1,05:08:21,OK,0,0,
L29C1-1,12,1,05:08:21,OK,0,0,
L29C1-1,11,1,05:08:21,OK,0,0,
L29C1-1,11,1,05:08:21,OK,0,0,
L29C1-1,4,1,05:08:21,OK,0,0,
L29C1-1,4,1,05:08:21,OK,0,0,
L29C1-1,3,1,05:08:21,OK,0,0,
L29C1-1,3,1,05:08:21,OK,0,0,

L29C1-1,25,3,05:08:29,OK,0,0,
L29C1-1,25,3,05:08:29,OK,0,0,
L29C1-1,26,3,05:08:29,OK,0,0,
L29C1-1,26,3,05:08:29,OK,0,0,
L29C1-1,17,3,05:08:29,OK,0,0,
L29C1-1,17,3,05:08:29,OK,0,0,
L29C1-1,18,3,05:08:29,OK,0,0,
L29C1-1,18,3,05:08:29,OK,0,0,
L29C1-1,9,3,05:08:29,OK,0,0,
L29C1-1,9,3,05:08:29,OK,0,0,
L29C1-1,10,3,05:08:29,OK,0,0,
L29C1-1,10,3,05:08:29,OK,0,0,
L29C1-1,1,3,05:08:29,OK,0,0,
L29C1-1,1,3,05:08:29,OK,0,0,
L29C1-1,2,3,05:08:29,OK,0,0,
L29C1-1,2,3,05:08:29,OK,0,0,

L29C1-1,28,5,05:08:34,OK,0,0,
L29C1-1,28,5,05:08:34,OK,0,0,
L29C1-1,27,5,05:08:34,OK,0,0,
L29C1-1,27,5,05:08:34,OK,0,0,
L29C1-1,20,5,05:08:34,OK,0,0,
L29C1-1,20,5,05:08:34,OK,0,0,
L29C1-1,19,5,05:08:34,OK,0,0,
L29C1-1,19,5,05:08:34,OK,0,0,
L29C1-1,12,5,05:08:34,OK,0,0,
L29C1-1,12,5,05:08:34,OK,0,0,
L29C1-1,11,5,05:08:34,OK,0,0,
L29C1-1,11,5,05:08:34,OK,0,0,
L29C1-1,4,5,05:08:34,OK,0,0,
L29C1-1,4,5,05:08:34,OK,0,0,
L29C1-1,3,5,05:08:34,OK,0,0,
L29C1-1,3,5,05:08:34,OK,0,0,

L29C1-1,25,7,05:08:39,OK,0,0,
L29C1-1,25,7,05:08:39,OK,0,0,
L29C1-1,26,7,05:08:39,OK,0,0,
L29C1-1,26,7,05:08:39,NG,1,3,
L29C1-1,17,7,05:08:39,OK,0,0,
L29C1-1,17,7,05:08:39,OK,0,0,
L29C1-1,18,7,05:08:39,OK,0,0,
L29C1-1,18,7,05:08:39,OK,0,0,
L29C1-1,9,7,05:08:39,OK,0,0,
L29C1-1,9,7,05:08:39,OK,0,0,
L29C1-1,10,7,05:08:39,OK,0,0,
L29C1-1,10,7,05:08:39,OK,0,0,
L29C1-1,1,7,05:08:39,OK,0,0,
L29C1-1,1,7,05:08:39,OK,0,0,
L29C1-1,2,7,05:08:39,OK,0,0,
L29C1-1,2,7,05:08:39,OK,0,0,

L29C1-1,28,9,05:08:47,OK,0,0,
L29C1-1,28,9,05:08:47,OK,0,0,
L29C1-1,27,9,05:08:47,OK,0,0,
L29C1-1,27,9,05:08:47,OK,0,0,
L29C1-1,20,9,05:08:47,OK,0,0,
L29C1-1,20,9,05:08:47,OK,0,0,
L29C1-1,19,9,05:08:47,OK,0,0,
L29C1-1,19,9,05:08:47,OK,0,0,
L29C1-1,12,9,05:08:47,OK,0,0,
L29C1-1,12,9,05:08:47,OK,0,0,
L29C1-1,11,9,05:08:47,OK,0,0,
L29C1-1,11,9,05:08:47,OK,0,0,
L29C1-1,4,9,05:08:47,OK,0,0,
L29C1-1,4,9,05:08:47,OK,0,0,
L29C1-1,3,9,05:08:47,OK,0,0,
L29C1-1,3,9,05:08:47,OK,0,0,

L29C1-1,25,11,05:08:52,OK,0,0,
L29C1-1,25,11,05:08:52,OK,0,0,
L29C1-1,26,11,05:08:52,NG,1,3,
L29C1-1,26,11,05:08:52,OK,0,0,
L29C1-1,17,11,05:08:52,OK,0,0,
L29C1-1,17,11,05:08:52,OK,0,0,
L29C1-1,18,11,05:08:52,OK,0,0,
L29C1-1,18,11,05:08:52,OK,0,0,
L29C1-1,9,11,05:08:52,OK,0,0,
L29C1-1,9,11,05:08:52,OK,0,0,
L29C1-1,10,11,05:08:52,OK,0,0,
L29C1-1,10,11,05:08:52,OK,0,0,
L29C1-1,1,11,05:08:52,OK,0,0,
L29C1-1,1,11,05:08:52,OK,0,0,
L29C1-1,2,11,05:08:52,OK,0,0,
L29C1-1,2,11,05:08:52,OK,0,0,

L29C1-1,28,13,05:08:57,OK,0,0,
L29C1-1,28,13,05:08:57,OK,0,0,
L29C1-1,27,13,05:08:57,OK,0,0,
L29C1-1,27,13,05:08:57,OK,0,0,
L29C1-1,20,13,05:08:57,OK,0,0,
L29C1-1,20,13,05:08:57,OK,0,0,
L29C1-1,19,13,05:08:57,OK,0,0,
L29C1-1,19,13,05:08:57,OK,0,0,
L29C1-1,12,13,05:08:57,OK,0,0,
L29C1-1,12,13,05:08:57,OK,0,0,
L29C1-1,11,13,05:08:57,OK,0,0,
L29C1-1,11,13,05:08:57,OK,0,0,
L29C1-1,4,13,05:08:57,OK,0,0,
L29C1-1,4,13,05:08:57,OK,0,0,
L29C1-1,3,13,05:08:57,OK,0,0,
L29C1-1,3,13,05:08:57,OK,0,0,

L29C1-1,25,15,05:09:03,OK,0,0,
L29C1-1,25,15,05:09:03,OK,0,0,
L29C1-1,26,15,05:09:03,OK,0,0,
L29C1-1,26,15,05:09:03,OK,0,0,
L29C1-1,17,15,05:09:03,OK,0,0,
L29C1-1,17,15,05:09:03,OK,0,0,
L29C1-1,18,15,05:09:03,OK,0,0,
L29C1-1,18,15,05:09:03,OK,0,0,
L29C1-1,9,15,05:09:03,OK,0,0,
L29C1-1,9,15,05:09:03,OK,0,0,
L29C1-1,10,15,05:09:03,OK,0,0,
L29C1-1,10,15,05:09:03,OK,0,0,
L29C1-1,1,15,05:09:03,OK,0,0,
L29C1-1,1,15,05:09:03,OK,0,0,
L29C1-1,2,15,05:09:03,OK,0,0,
L29C1-1,2,15,05:09:03,OK,0,0,

L29C1-1,28,17,05:09:09,OK,0,0,
L29C1-1,28,17,05:09:09,OK,0,0,
L29C1-1,27,17,05:09:09,OK,0,0,
L29C1-1,27,17,05:09:09,OK,0,0,
L29C1-1,20,17,05:09:09,OK,0,0,
L29C1-1,20,17,05:09:09,OK,0,0,
L29C1-1,19,17,05:09:09,OK,0,0,
L29C1-1,19,17,05:09:09,OK,0,0,
L29C1-1,12,17,05:09:09,OK,0,0,
L29C1-1,12,17,05:09:09,OK,0,0,
L29C1-1,11,17,05:09:09,OK,0,0,
L29C1-1,11,17,05:09:09,OK,0,0,
L29C1-1,4,17,05:09:09,OK,0,0,
L29C1-1,4,17,05:09:09,OK,0,0,
L29C1-1,3,17,05:09:09,OK,0,0,
L29C1-1,3,17,05:09:09,OK,0,0,

L29C1-1,25,19,05:09:14,OK,0,0,
L29C1-1,25,19,05:09:14,OK,0,0,
L29C1-1,26,19,05:09:14,OK,0,0,
L29C1-1,26,19,05:09:14,OK,0,0,
L29C1-1,17,19,05:09:14,OK,0,0,
L29C1-1,17,19,05:09:14,OK,0,0,
L29C1-1,18,19,05:09:14,OK,0,0,
L29C1-1,18,19,05:09:14,OK,0,0,
L29C1-1,9,19,05:09:14,OK,0,0,
L29C1-1,9,19,05:09:14,OK,0,0,
L29C1-1,10,19,05:09:14,OK,0,0,
L29C1-1,10,19,05:09:14,OK,0,0,
L29C1-1,1,19,05:09:14,OK,0,0,
L29C1-1,1,19,05:09:14,OK,0,0,
L29C1-1,2,19,05:09:14,OK,0,0,
L29C1-1,2,19,05:09:14,OK,0,0,

L29C1-1,28,21,05:09:49,OK,0,0,
L29C1-1,28,21,05:09:49,OK,0,0,
L29C1-1,27,21,05:09:49,OK,0,0,
L29C1-1,27,21,05:09:49,OK,0,0,
L29C1-1,20,21,05:09:49,OK,0,0,
L29C1-1,20,21,05:09:49,OK,0,0,
L29C1-1,19,21,05:09:49,OK,0,0,
L29C1-1,19,21,05:09:49,OK,0,0,
L29C1-1,12,21,05:09:49,OK,0,0,
L29C1-1,12,21,05:09:49,OK,0,0,
L29C1-1,11,21,05:09:49,OK,0,0,
L29C1-1,11,21,05:09:49,OK,0,0,
L29C1-1,4,21,05:09:49,OK,0,0,
L29C1-1,4,21,05:09:49,OK,0,0,
L29C1-1,3,21,05:09:49,OK,0,0,
L29C1-1,3,21,05:09:49,OK,0,0,

L29C1-1,25,23,05:09:54,OK,0,0,
L29C1-1,25,23,05:09:54,OK,0,0,
L29C1-1,26,23,05:09:54,OK,0,0,
L29C1-1,26,23,05:09:54,OK,0,0,
L29C1-1,17,23,05:09:54,OK,0,0,
L29C1-1,17,23,05:09:54,OK,0,0,
L29C1-1,18,23,05:09:54,OK,0,0,
L29C1-1,18,23,05:09:54,OK,0,0,
L29C1-1,9,23,05:09:54,NG,1,3,
L29C1-1,9,23,05:09:54,OK,0,0,
L29C1-1,10,23,05:09:54,NG,1,3,
L29C1-1,10,23,05:09:54,OK,0,0,
L29C1-1,1,23,05:09:54,OK,0,0,
L29C1-1,1,23,05:09:54,OK,0,0,
L29C1-1,2,23,05:09:54,OK,0,0,
L29C1-1,2,23,05:09:54,OK,0,0,

L29C1-1,28,25,05:09:59,OK,0,0,
L29C1-1,28,25,05:09:59,OK,0,0,
L29C1-1,27,25,05:09:59,OK,0,0,
L29C1-1,27,25,05:09:59,NG,1,4,
L29C1-1,20,25,05:09:59,OK,0,0,
L29C1-1,20,25,05:09:59,OK,0,0,
L29C1-1,19,25,05:09:59,OK,0,0,
L29C1-1,19,25,05:09:59,OK,0,0,
L29C1-1,12,25,05:09:59,OK,0,0,
L29C1-1,12,25,05:09:59,OK,0,0,
L29C1-1,11,25,05:09:59,OK,0,0,
L29C1-1,11,25,05:09:59,OK,0,0,
L29C1-1,4,25,05:09:59,OK,0,0,
L29C1-1,4,25,05:09:59,OK,0,0,
L29C1-1,3,25,05:09:59,OK,0,0,
L29C1-1,3,25,05:09:59,OK,0,0,

L29C1-1,25,27,05:10:05,OK,0,0,
L29C1-1,25,27,05:10:05,OK,0,0,
L29C1-1,26,27,05:10:05,OK,0,0,
L29C1-1,26,27,05:10:05,OK,0,0,
L29C1-1,17,27,05:10:05,OK,0,0,
L29C1-1,17,27,05:10:05,OK,0,0,
L29C1-1,18,27,05:10:05,OK,0,0,
L29C1-1,18,27,05:10:05,OK,0,0,
L29C1-1,9,27,05:10:05,OK,0,0,
L29C1-1,9,27,05:10:05,OK,0,0,
L29C1-1,10,27,05:10:05,OK,0,0,
L29C1-1,10,27,05:10:05,OK,0,0,
L29C1-1,1,27,05:10:05,OK,0,0,
L29C1-1,1,27,05:10:05,OK,0,0,
L29C1-1,2,27,05:10:05,OK,0,0,
L29C1-1,2,27,05:10:05,OK,0,0,

L29C1-1,28,1,05:10:10,OK,0,0,
L29C1-1,28,1,05:10:10,NG,1,3,
L29C1-1,27,1,05:10:10,OK,0,0,
L29C1-1,27,1,05:10:10,OK,0,0,
L29C1-1,20,1,05:10:10,OK,0,0,
L29C1-1,20,1,05:10:10,OK,0,0,
L29C1-1,19,1,05:10:10,OK,0,0,
L29C1-1,19,1,05:10:10,OK,0,0,
L29C1-1,12,1,05:10:10,OK,0,0,
L29C1-1,12,1,05:10:10,OK,0,0,
L29C1-1,11,1,05:10:10,OK,0,0,
L29C1-1,11,1,05:10:10,OK,0,0,
L29C1-1,4,1,05:10:10,OK,0,0,
L29C1-1,4,1,05:10:10,OK,0,0,
L29C1-1,3,1,05:10:10,OK,0,0,
L29C1-1,3,1,05:10:10,OK,0,0,

L29C1-1,25,3,05:10:15,OK,0,0,
L29C1-1,25,3,05:10:15,OK,0,0,
L29C1-1,26,3,05:10:15,OK,0,0,
L29C1-1,26,3,05:10:15,OK,0,0,
L29C1-1,17,3,05:10:15,OK,0,0,
L29C1-1,17,3,05:10:15,OK,0,0,
L29C1-1,18,3,05:10:15,OK,0,0,
L29C1-1,18,3,05:10:15,OK,0,0,
L29C1-1,9,3,05:10:15,OK,0,0,
L29C1-1,9,3,05:10:15,OK,0,0,
L29C1-1,10,3,05:10:15,OK,0,0,
L29C1-1,10,3,05:10:15,OK,0,0,
L29C1-1,1,3,05:10:15,OK,0,0,
L29C1-1,1,3,05:10:15,OK,0,0,
L29C1-1,2,3,05:10:15,OK,0,0,
L29C1-1,2,3,05:10:15,OK,0,0,

L29C1-1,28,5,05:10:21,OK,0,0,
L29C1-1,28,5,05:10:21,OK,0,0,
L29C1-1,27,5,05:10:21,OK,0,0,
L29C1-1,27,5,05:10:21,OK,0,0,
L29C1-1,20,5,05:10:21,OK,0,0,
L29C1-1,20,5,05:10:21,OK,0,0,
L29C1-1,19,5,05:10:21,OK,0,0,
L29C1-1,19,5,05:10:21,OK,0,0,
L29C1-1,12,5,05:10:21,OK,0,0,
